,ID,Label,,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range
,ID,A rdfs:label,,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE
,,,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,http://purl.org/pan-science/PaNET/PaNET01000,time of flight technique,,TOF,,,,owl:Class,,,,,,,time_of_flight_technique,,,,,,,,,,,
1001,http://purl.org/pan-science/PaNET/PaNET01001,neutron time of flight technique,,,,,,owl:Class,,,,,,,neutron_time_of_flight_technique,,,,,,,,,,,
1002,http://purl.org/pan-science/PaNET/PaNET01002,ultrafast probe,,femtosecond probe,,,,owl:Class,,,,,,,ultrafast_probe,,,,,,,,,,,
1003,http://purl.org/pan-science/PaNET/PaNET01003,single shot technique,,,,,,owl:Class,subclass,pulsed_probe,,,,,,,,,,,,,,,,
1004,http://purl.org/pan-science/PaNET/PaNET01004,nanofocussed probe,,,,,,owl:Class,,,,,,,nanofocussed_probe,,,,,,,,,,,
1005,http://purl.org/pan-science/PaNET/PaNET01005,IR photon probe,,,,,,owl:Class,,,,,,,IR_photon_probe,,,,,,,,,,,
1006,http://purl.org/pan-science/PaNET/PaNET01006,THz photon probe,,,,,,owl:Class,,,,,,,THz_photon_probe,,,,,,,,,,,
1007,http://purl.org/pan-science/PaNET/PaNET01007,UV visible photon probe,,,,,,owl:Class,,,,,,,UV_visible_photon_probe,,,,,,,,,,,
1008,http://purl.org/pan-science/PaNET/PaNET01008,visible photon probe,,,,,,owl:Class,,,,,,,visible_photon_probe,,,,,,,,,,,
1009,http://purl.org/pan-science/PaNET/PaNET01009,UV photon probe,,,,,,owl:Class,,,,,,,UV_photon_probe,,,,,,,,,,,
1010,http://purl.org/pan-science/PaNET/PaNET01010,VUV photon probe,,,,,,owl:Class,,,,,,,VUV_photon_probe,,,,,,,,,,,
1011,http://purl.org/pan-science/PaNET/PaNET01011,EUV photon probe,,,,,,owl:Class,,,,,,,EUV_photon_probe,,,,,,,,,,,
1012,http://purl.org/pan-science/PaNET/PaNET01012,x-ray probe,,,,,,owl:Class,,,,,,,x-ray_probe,,,,,,,,,,,
1013,http://purl.org/pan-science/PaNET/PaNET01013,hard x-ray probe,,,,,,owl:Class,,,,,,,hard_x-ray_probe,,,,,,,,,,,
