,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent,Parent,Parent,Parent,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,SC %,SC %,SC %,SC %,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE,CHARACTERISTIC SPLIT=|
,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,
1015,http://purl.org/pan-science/PaNET/PaNET01015,soft x-ray probe technique,,,,,owl:Class,,,,,soft x-ray,,,,,,,,,,,,
1016,http://purl.org/pan-science/PaNET/PaNET01016,thermal neutron probe technique,,,,https://en.wikipedia.org/wiki/Neutron_temperature#Thermal,owl:Class,,,,,thermal neutron beam,,,,,,,,,,,,
1017,http://purl.org/pan-science/PaNET/PaNET01017,cold neutron probe technique,,,,,owl:Class,,,,,cold neutron beam,,,,,,,,,,,,
1018,http://purl.org/pan-science/PaNET/PaNET01018,monochromatic neutron probe technique,,,,,owl:Class,,,,,monochromatic neutron beam,,,,,,,,,,,,
1019,http://purl.org/pan-science/PaNET/PaNET01019,pulsed neutron TOF probe technique,,,,,owl:Class,neutron technique,pulsed probe technique,,,,,,,,,,,,,,,
1020,http://purl.org/pan-science/PaNET/PaNET01020,elastic scattering technique,,,,https://en.wikipedia.org/wiki/Elastic_scattering,owl:Class,,,,,,elastic scattering,,,,,,,,,,,
1021,http://purl.org/pan-science/PaNET/PaNET01021,diffuse scattering technique,,,,,owl:Class,,,,,,diffuse scattering,,,,,,,,,,,
1022,http://purl.org/pan-science/PaNET/PaNET01022,diffraction technique,,,,https://en.wikipedia.org/wiki/Diffraction,owl:Class,,,,,,diffraction,,,,,,,,,,,
1022,http://purl.org/pan-science/PaNET/PaNET01022,diffraction technique,,,,,owl:Class,,,,,,,,,CHMO:0000182,,,,,,,,
1022,http://purl.org/pan-science/PaNET/PaNET01022,diffraction technique,,,,,owl:Class,,,,,,,,,WD:Q133900,,,,,,,,
1023,http://purl.org/pan-science/PaNET/PaNET01023,dynamical diffraction technique,,,,https://en.wikipedia.org/wiki/Dynamical_theory_of_diffraction,owl:Class,,,,,,dynamical diffraction,,,,,,,,,,,
1024,http://purl.org/pan-science/PaNET/PaNET01024,coherent diffraction technique,,,Probe is highly coherent over illuminated sample,,owl:Class,,,,,,coherent diffraction,,,,,,,,,,,
1025,http://purl.org/pan-science/PaNET/PaNET01025,reference beam technique,,,e.g. holography,https://en.wikipedia.org/wiki/Reference_beam,owl:Class,,,,,,reference beam,,,,,,,,,,,
1026,http://purl.org/pan-science/PaNET/PaNET01026,atomic scale diffraction technique,,,essential diffracting structure(s),,owl:Class,(definedByProcess some 'diffraction'),,,,,,,,,,,,,,,,
1027,http://purl.org/pan-science/PaNET/PaNET01027,atomic scale diffraction 3D volume technique,,,,,owl:Class,atomic scale diffraction technique,,,,,,,,,,,,,,,,
1028,http://purl.org/pan-science/PaNET/PaNET01028,atomic scale diffraction 3D volume 3D periodic technique,,,,,owl:Class,atomic scale diffraction 3D volume technique,,,,,,,,,,,,,,,,
1029,http://purl.org/pan-science/PaNET/PaNET01029,single crystal diffraction technique,,,,,owl:Class,atomic scale diffraction 3D volume 3D periodic technique,,,,,,,,,,,,,,,,
1030,http://purl.org/pan-science/PaNET/PaNET01030,powder diffraction technique,,,,https://en.wikipedia.org/wiki/Powder_diffraction,owl:Class,atomic scale diffraction 3D volume 3D periodic technique,,,,,,,,,,,,,,,,
1031,http://purl.org/pan-science/PaNET/PaNET01031,atomic scale diffraction 2D surface or film technique,,,,,owl:Class,atomic scale diffraction technique,,,,,,,,,,,,,,,,
1032,http://purl.org/pan-science/PaNET/PaNET01032,micro scale diffraction technique,,,,,owl:Class,(definedByProcess some 'diffraction'),,,,,,,,,,,,,,,,
1033,http://purl.org/pan-science/PaNET/PaNET01033,incoherent scattering technique,,,,https://en.wikipedia.org/wiki/Incoherent_scatter,owl:Class,,,,,,incoherent scattering,,,,,,,,,,,
1034,http://purl.org/pan-science/PaNET/PaNET01034,inelastic scattering technique,,,,https://en.wikipedia.org/wiki/Inelastic_scattering,owl:Class,,,,,,inelastic scattering,,,,,,,,,,,
1035,http://purl.org/pan-science/PaNET/PaNET01035,quasielastic scattering technique,,,,https://en.wikipedia.org/wiki/Quasielastic_neutron_scattering,owl:Class,,,,,,quasielastic scattering,,,,,,,,,,,
1036,http://purl.org/pan-science/PaNET/PaNET01036,high momentum transfer scattering technique,,,,,owl:Class,,,,,,high momentum transfer scattering,,,,,,,,,,,
1037,http://purl.org/pan-science/PaNET/PaNET01037,low momentum transfer scattering technique,,,,,owl:Class,,,,,,low momentum transfer scattering,,,,,,,,,,,
1038,http://purl.org/pan-science/PaNET/PaNET01038,ultra low momentum transfer scattering technique,,,,,owl:Class,,,,,,ultra low momentum transfer scattering,,,,,,,,,,,
1039,http://purl.org/pan-science/PaNET/PaNET01039,low surface momentum transfer scattering technique,,,,,owl:Class,,,,,,low surface momentum transfer scattering,,,,,,,,,,,
1040,http://purl.org/pan-science/PaNET/PaNET01040,high momentum transfer resolution scattering technique,,,,,owl:Class,(definedByProcess some 'scattering'),,,,,,,,,,,,,,,,
1041,http://purl.org/pan-science/PaNET/PaNET01041,coherent emission technique,,,,,owl:Class,,,,,,coherent emission,,,,,,,,,,,
1042,http://purl.org/pan-science/PaNET/PaNET01042,high energy resolution emission technique,,,,,owl:Class,(definedByProcess some 'emission'),,,,,,,,,,,,,,,,
1043,http://purl.org/pan-science/PaNET/PaNET01043,photon emission technique,,,,,owl:Class,,,,,,photon emission,,,,,,,,,,,
1044,http://purl.org/pan-science/PaNET/PaNET01044,visible photon emission technique,,,,,owl:Class,,,,,,visible photon emission,,,,,,,,,,,
1045,http://purl.org/pan-science/PaNET/PaNET01045,x-ray emission technique,,,,,owl:Class,,,,,,x-ray emission,,,,,,,,,,,
1046,http://purl.org/pan-science/PaNET/PaNET01046,gamma-ray emission technique,,,,,owl:Class,,,,,,gamma-ray emission,,,,,,,,,,,
1047,http://purl.org/pan-science/PaNET/PaNET01047,electron emission technique,,,,https://en.wikipedia.org/wiki/Electron_emission,owl:Class,,,,,,electron emission,,,,,,,,,,,
1048,http://purl.org/pan-science/PaNET/PaNET01048,ion emission technique,,,,,owl:Class,,,,,,ion emission,,,,,,,,,,,
1049,http://purl.org/pan-science/PaNET/PaNET01049,resonant scattering technique,,,,,owl:Class,resonance phenomenon technique,scattering technique,,,,,,,,,,,,,,,
